Genotype,cyanide,linamarin,linamarase,VegBiomass,LatSpread,FrstFlwr,BnrLgth,BnrWdt,InflHt,InflWdt,InflNum,FlwrCt,SeedBm,AvgDMG1,AvgDMG2,VegGrowth,RFSeed,FrstFlwr.T,InflHt.T,SeedBm.T,InflNum.T,AvgDmg1.T,AvgDmg2.T,VegGrowth.T,VegBiomass.T,LatSpread.T,FlwrCt.S,BnrLgth.S,BnrWdt.S,InflHt.S,InflWdt.S,FrstFlwr.S,SeedBm.S,InflNum.S,AvgDmg1.S,AvgDmg2.S,VegGrowth.S
110,0,1,0,2.738,850.5,5.4,5.441666667,3.241666667,19.5875,17.54,4.2,35.22222222,0.01542,30.97,19.08,0.12061377332262008,0.47710101886890993,2.32379000772445,383.67015624999993,0.12417729261020309,1.6486586255873816,5.56506963119061,4.368065933568311,1.3677038324588477,1.6546903033498443,29.16333314283537,-0.26982467563597506,-0.840905456896517,-0.32007192313275024,-0.7392565738649434,-0.868766329665988,-0.6978600506312481,-0.6827221163686,0.9443150092107783,-0.3835361148297914,-0.6334732673566226,0.2654608718040768
114,1,1,1,2.0256,695.15,4.2,5.47625,3.14,19.47,18.98666667,3,32.875,0.04402,58.45,31.36,-0.3183621684432675,1.3619965532172122,2.04939015319192,379.08089999999993,0.20980943734732238,1.3862943611198906,7.6452599694189605,5.6,1.1965106901138547,1.4232357499725756,26.365697411599033,-0.5060790858632709,-0.7694931845017067,-0.7043300331070663,-0.7823282286045323,-0.3874237993893232,-0.9748678281685175,0.6514463295693909,0.36860436984513745,1.7755638940350988,1.0072418484616863,-0.1675511805407044
115,0,0,1,0.59,66.5,1,6.41,4.01,20.69,22.65,2,44,0.0091,100,38,-1.5894716828375666,0.28155767001991444,1,428.07610000000005,0.09539392014169457,1.0986122886681098,10,6.164414002968976,0.4006598521968896,0.7681145747868608,8.154753215150045,0.6136829423688354,1.1586381887425408,2.583911487367438,-0.322492424426653,0.8314597007807857,-2.034231487819171,-1.1311736579369402,-0.2626615923902382,4.219628327692675,1.7589400208590231,-2.1805582435938806
116,0,1,0,2.5204,1017.45,3.666666667,5.7,3.18,18.61,19.16,1,38.33333333,0.00974,54.65,27.36,0.2491028913283552,0.30135952813120515,1.914854215599715,346.33209999999997,0.09869143833180262,0.6931471805599453,7.392563831310488,5.230678732248808,1.4138963509848788,1.5875767697972907,31.897492064424124,0.04331726473157936,-0.3074643815422419,-0.5531465149243303,-1.0896863123323357,-0.3297514237317854,-1.1106824084451674,-1.0797975685880805,-1.1523809949285129,1.513282013380467,0.5153721915508221,0.38229918072198077
118,0,1,0,3.1824,791.1,10.6,6.146666667,3.186666667,23.1875,23.3375,1.6,39,0.02838,41.32,28.4,0.20302221102753654,0.8780886456225463,3.255764119219941,537.66015625,0.1684636459299157,0.9555114450274363,6.428063471995279,5.329165037789691,1.3975057105527464,1.7839282496782207,28.126499960002132,0.1104191094555292,0.614872447400345,-0.5279492606340127,0.7059893989109914,1.0602083105522448,0.24297163380039058,0.007269420877222979,-0.576670355562872,0.5121944224625927,0.6465382779551604,0.3408410664801135
119,0,0,0,2.7648,827,11,6.42625,3.6925,21.99333333,20.58666667,2.6,53.20833333,0.0508,24.04,12.95,0.10119054141057617,1.571772487583698,3.3166247903554,483.7067109644888,0.2253885533916929,1.2809338454620642,4.903060268852505,3.598610843089316,1.360584632211674,1.6627687752661222,28.75760768909681,1.5405271676486654,1.192193353203283,1.3838923117919721,0.19961885851049957,0.14493660153334503,0.3044107306956165,0.8941725290101904,0.13740988931489476,-1.0706580545029578,-1.6582493753418108,0.24745372813082217
120,0,1,0,2.933,1184.55,8.4,6.51,3.21,21.71333333,22.94166667,5,35.08333333,0.06342,32.92,26.12,0.5977989359774261,1.9622403772157115,2.898275349237888,471.46884429968895,0.25183327818221324,1.791759469228055,5.737595315112421,5.110772935672255,1.5322528955682957,1.7126003620226173,34.41729216542173,-0.28380422666206967,1.36513150850096,-0.43975887628727917,0.08476252035431502,0.9285045666413985,-0.11791474435007919,1.3061874036269263,1.258323772383412,-0.2044658639784904,0.3556791866425151,0.6816675407887757
121,1,1,1,3.80025,980.9375,8.5,6.85,3.778333333,23.53666667,22.93666667,2,33,0.018525,23.3,21.95,0.651223837426162,0.5731709711119687,2.9154759474226504,553.9746779346889,0.136106575888162,1.0986122886681098,4.8270073544588685,4.685082710048992,1.5495882799718648,1.9494229915541677,31.319921775125813,-0.49349749004043825,2.0672087956795884,1.7083069432992306,0.8591064634123374,0.9268409403885155,-0.10055067000102451,-0.4968611481426171,-0.2626615923902382,-1.149595950292509,-0.21126380719742643,0.7255152690093839
122,0,1,0,2.29625,898.6875,6,5.38375,3.11,22.7525,16.6175,3.5,40.55555556,0.057475,51.25,38.5,0.0253988120895208,1.7782996796038002,2.449489742783178,517.67625625,0.23973944189473703,1.5040773967762742,7.158910531638177,6.2048368229954285,1.3324409225513605,1.5153382460691738,29.978117018918983,0.2669900801425703,-0.9604995052782458,-0.8177176717441191,0.5184340317095049,-1.175705373322964,-0.5709656530195548,1.117762661789339,0.6270578101480363,1.270765339726722,1.812775963584032,0.17626766709077615
123,0,1,0,0.806,275.9166667,13,5.265,3.11,19.9275,20.255,2,46.5,0.018333333,33.33333333,20.46666667,-1.2575906889800579,0.56724071683288,3.605551275463989,397.1052562499999,0.1354006388463511,1.0986122886681098,5.7735026916075824,4.524010020988017,0.70171882618321,0.8977750274985377,16.61073949889047,0.8653148588254885,-1.2057103224913703,-0.8177176717441191,-0.6131638134984136,0.03458272564966574,0.5960832013240478,-0.5078598090881564,-0.2626615923902382,-0.16719638171801324,-0.4257837258269331,-1.4190665014777082
124,1,1,1,4.43075,1880.25,8.75,5.9,3.38625,18.4475,15.53375,9.25,28.16666667,0.06985,23.2,14.775,1.9727218206508503,2.161187170427585,2.958039891549808,340.31025625000007,0.2642915057280502,2.327277705584417,4.8166378315169185,3.843826218756514,1.9294356223131288,2.104934678321396,43.36184959154764,-0.9799858615211249,0.10552225797459863,0.22639350070540093,-1.1462032642667035,-1.5362963636354283,-0.05758219399373611,1.5002894448054682,2.4334211007883737,-1.160358829373544,-1.3316664968817753,1.6862925234711308
