"accession","water","microbe","replicate","tray","shelf","rack","fruit","flowering","counter"
"45","W","L",2,"18","B","2",30,4,"JV"
"63","W","S",2,"18","B","2",28,23,"JV"
"68","W","S",2,"18","B","2",7,26,"JV"
"47","W","S",2,"18","B","2",20,8,"JV"
"62","D","L",2,"18","B","2",0,NA,"JV"
"51","W","L",2,"19","B","2",35,30,"JV"
"65","W","S",2,"19","B","2",0,NA,"JV"
"11","D","S",2,"19","B","2",8,30,"JV"
"9","W","S",2,"19","B","2",34,9,"JV"
"61","W","S",2,"19","B","2",45,13,"JV"
"56","D","S",2,"19","B","2",25,4,"JV"
"47","W","L",2,"19","B","2",30,8,"JV"
"62","D","S",2,"19","B","2",0,NA,"JV"
"9","D","S",2,"19","B","2",8,11,"JV"
"44","D","L",2,"19","B","2",17,12,"JV"
"72","W","L",2,"19","B","2",13,30,"JV"
"69","W","S",2,"19","B","2",38,10,"JV"
"12","W","S",2,"19","B","2",22,17,"JV"
"42","W","L",2,"19","B","2",26,6,"JV"
"38","D","L",2,"19","B","2",14,4,"JV"
"67","D","S",2,"20","B","2",23,8,"JV"
"71","W","S",2,"20","B","2",19,9,"JV"
"52","W","L",2,"20","B","2",29,27,"JV"
"52","D","L",2,"20","B","2",6,20,"JV"
"22","D","L",2,"20","B","2",24,6,"JV"
"43","D","S",2,"20","B","2",21,6,"JV"
"66","D","L",2,"20","B","2",10,10,"JV"
"44","W","L",2,"20","B","2",27,8,"JV"
"63","D","L",2,"20","B","2",9,22,"JV"
"55","W","L",2,"20","B","2",17,6,"JV"
"60","W","S",2,"20","B","2",13,14,"JV"
"66","W","L",2,"20","B","2",47,5,"JV"
"70","W","L",2,"20","B","2",17,9,"JV"
"73","W","L",2,"20","B","2",0,NA,"JV"
"65","W","L",2,"20","B","2",0,NA,"JV"
"1","D","L",2,"21","C","2",50,8,"JV"
"8","W","L",2,"21","C","2",4,31,"JV"
"33","D","S",2,"21","C","2",12,9,"JV"
"10","D","S",2,"21","C","2",1,38,"JV"
"49","W","L",2,"21","C","2",25,10,"JV"
"32","D","S",2,"21","C","2",13,10,"JV"
"45","W","S",2,"21","C","2",29,6,"JV"
"12","D","S",2,"21","C","2",20,16,"JV"
"33","W","L",2,"21","C","2",12,23,"JV"
"19","W","L",2,"21","C","2",3,31,"JV"
"21","W","L",2,"21","C","2",37,8,"JV"
"45","D","S",2,"21","C","2",1,14,"JV"
"62","W","L",2,"21","C","2",0,NA,"JV"
"11","W","L",2,"21","C","2",19,15,"JV"
"32","W","L",2,"21","C","2",15,7,"JV"
"9","W","L",2,"22","C","2",17,18,"JV"
"54","W","L",2,"22","C","2",47,9,"JV"
"44","W","S",2,"22","C","2",21,19,"JV"
"55","D","L",2,"22","C","2",17,5,"JV"
"10","D","L",2,"22","C","2",5,30,"JV"
"1","D","S",2,"22","C","2",20,11,"JV"
"8","D","S",2,"22","C","2",15,6,"JV"
"72","D","S",2,"22","C","2",5,30,"JV"
"60","D","S",2,"22","C","2",22,13,"JV"
"49","D","S",2,"22","C","2",14,9,"JV"
"3","W","L",2,"22","C","2",26,23,"JV"
"41","W","S",2,"22","C","2",3,35,"JV"
"15","D","L",2,"22","C","2",24,5,"JV"
"60","D","L",2,"22","C","2",24,8,"JV"
"43","W","L",2,"22","C","2",34,8,"JV"
"56","D","L",2,"23","C","2",10,5,"JV"
"64","D","S",2,"23","C","2",7,15,"JV"
"3","D","L",2,"23","C","2",17,17,"JV"
"43","W","S",2,"23","C","2",38,4,"JV"
"69","D","S",2,"23","C","2",37,5,"JV"
"50","W","L",2,"23","C","2",8,11,"JV"
"68","D","S",2,"23","C","2",6,12,"JV"
"43","D","L",2,"23","C","2",30,4,"JV"
"10","W","S",2,"23","C","2",18,16,"JV"
"3","D","S",2,"23","C","2",14,15,"JV"
"61","D","L",2,"23","C","2",1,34,"JV"
"58","D","L",2,"23","C","2",3,34,"JV"
"1","W","L",2,"23","C","2",27,9,"JV"
"61","D","S",2,"23","C","2",0,NA,"JV"
"58","W","L",2,"23","C","2",0,NA,"JV"
"22","D","S",2,"24","C","2",27,5,"JV"
"37","D","S",2,"24","C","2",37,6,"JV"
"52","D","S",2,"24","C","2",19,17,"JV"
"62","W","S",2,"24","C","2",0,NA,"JV"
"38","D","S",2,"24","C","2",16,4,"JV"
"65","D","S",2,"24","C","2",0,NA,"JV"
"32","D","L",2,"24","C","2",21,8,"JV"
"21","D","S",2,"24","C","2",23,10,"JV"
"45","D","L",2,"24","C","2",5,11,"JV"
"22","W","L",2,"24","C","2",3,6,"JV"
"68","W","L",2,"24","C","2",47,8,"JV"
"71","W","S",3,"25","A","3",6,15,"CF"
"55","D","L",3,"25","A","3",23,5,"CF"
"10","D","L",3,"25","A","3",0,NA,"CF"
"51","D","L",3,"25","A","3",0,NA,"CF"
"66","W","S",3,"25","A","3",29,13,"CF"
"68","D","S",3,"25","A","3",9,12,"CF"
"33","D","S",3,"25","A","3",21,6,"CF"
"38","D","S",3,"25","A","3",13,4,"CF"
"58","W","S",3,"25","A","3",8,33,"CF"
"65","D","S",3,"25","A","3",0,NA,"CF"
"50","D","S",3,"25","A","3",0,NA,"CF"
"63","D","L",3,"25","A","3",17,12,"CF"
"21","D","S",3,"25","A","3",5,8,"CF"
"37","D","S",3,"25","A","3",17,4,"CF"
"33","W","L",3,"25","A","3",2,35,"CF"
"19","W","S",3,"26","A","3",0,NA,"CF"
"10","D","S",3,"26","A","3",18,12,"CF"
"61","W","S",3,"26","A","3",16,23,"CF"
"42","W","S",3,"26","A","3",43,4,"CF"
"32","D","S",3,"26","A","3",7,8,"CF"
"55","W","L",3,"26","A","3",38,4,"CF"
"54","D","L",3,"26","A","3",26,4,"CF"
"22","D","S",3,"26","A","3",12,1,"CF"
"54","D","S",3,"26","A","3",27,5,"CF"
"8","W","L",3,"26","A","3",22,5,"CF"
"65","D","L",3,"26","A","3",0,NA,"CF"
"67","W","S",3,"26","A","3",38,8,"CF"
